Iteration,Aggression[1],AverageWinrate,Temperature
0,0.6,0.98,1.0
1,0.6,0.9933333333333333,0.97
2,0.6,0.9866666666666667,0.9409
3,0.6,0.9933333333333333,0.91267
4,0.6,0.9866666666666667,0.88529
5,0.6,0.9933333333333333,0.85873
6,0.619,1.0,0.83297
7,0.612,1.0,0.80798
8,0.607,1.0,0.78374
9,0.6,0.9866666666666667,0.76023
10,0.6,1.0,0.73742
11,0.6,0.9866666666666667,0.7153
12,0.622,1.0,0.69384
13,0.632,0.9933333333333333,0.67303
14,0.653,0.9933333333333333,0.65284
15,0.644,0.9933333333333333,0.63325
16,0.622,1.0,0.61425
17,0.616,1.0,0.59583
18,0.609,0.9866666666666667,0.57795
19,0.6,0.9933333333333333,0.56061
20,0.6,1.0,0.54379
21,0.616,1.0,0.52748
22,0.639,0.9933333333333333,0.51166
23,0.627,0.9866666666666667,0.49631
24,0.651,1.0,0.48142
25,0.638,0.9933333333333333,0.46697
26,0.654,0.9933333333333333,0.45297
27,0.655,0.9866666666666667,0.43938
28,0.667,1.0,0.4262
29,0.66,1.0,0.41341
30,0.65,0.9933333333333333,0.40101
31,0.634,1.0,0.38898
32,0.663,0.9933333333333333,0.37731
33,0.67,0.9933333333333333,0.36599
34,0.664,0.9933333333333333,0.35501
35,0.686,0.98,0.34436
36,0.69,1.0,0.33403
37,0.671,0.9933333333333333,0.32401
38,0.66,0.9933333333333333,0.31429
39,0.646,0.98,0.30486
40,0.638,0.9866666666666667,0.29571
41,0.612,0.9933333333333333,0.28684
42,0.611,0.9933333333333333,0.27824
43,0.636,0.9933333333333333,0.26989
44,0.614,0.9933333333333333,0.26179
45,0.627,1.0,0.25394
46,0.634,0.9933333333333333,0.24632
47,0.632,1.0,0.23893
48,0.614,0.9933333333333333,0.23176
49,0.63,0.9933333333333333,0.22481
50,0.63,0.9933333333333333,0.21807
