Iteration,CallThresholdMargin,AverageWinrate,Temperature
0,0.03,0.9933333333333333,1.0
1,0.03,1.0,0.97
2,0.03,1.0,0.9409
3,0.036,0.98,0.91267
4,0.042,0.9866666666666667,0.88529
5,0.048,1.0,0.85873
6,0.048,1.0,0.83297
7,0.045,0.9866666666666667,0.80798
8,0.043,0.9866666666666667,0.78374
9,0.045,1.0,0.76023
10,0.05,0.9666666666666667,0.73742
11,0.05,0.9733333333333333,0.7153
12,0.049,0.9933333333333333,0.69384
13,0.05,0.9933333333333333,0.67303
14,0.043,0.98,0.65284
15,0.049,1.0,0.63325
16,0.044,0.9933333333333333,0.61425
17,0.045,0.9866666666666667,0.59583
18,0.048,0.9866666666666667,0.57795
19,0.046,1.0,0.56061
20,0.05,0.9933333333333333,0.54379
21,0.049,0.9866666666666667,0.52748
22,0.05,1.0,0.51166
23,0.05,0.9866666666666667,0.49631
24,0.05,0.9933333333333333,0.48142
25,0.047,1.0,0.46697
26,0.043,1.0,0.45297
27,0.045,0.9933333333333333,0.43938
28,0.047,1.0,0.4262
29,0.048,0.9866666666666667,0.41341
30,0.046,1.0,0.40101
31,0.044,0.98,0.38898
32,0.041,1.0,0.37731
33,0.04,0.9933333333333333,0.36599
34,0.043,1.0,0.35501
35,0.044,1.0,0.34436
36,0.044,0.9933333333333333,0.33403
37,0.046,0.9866666666666667,0.32401
38,0.046,1.0,0.31429
39,0.048,0.9933333333333333,0.30486
40,0.046,1.0,0.29571
41,0.046,0.9866666666666667,0.28684
42,0.045,1.0,0.27824
43,0.044,0.9866666666666667,0.26989
44,0.043,1.0,0.26179
45,0.045,0.9933333333333333,0.25394
46,0.046,0.9933333333333333,0.24632
47,0.046,1.0,0.23893
48,0.047,1.0,0.23176
49,0.049,0.9866666666666667,0.22481
50,0.047,1.0,0.21807
